Name,Gender,Department,Marks,Attendance
Rishabh,Male,CSE,77,96
Yash,Male,CSE,75,93
Aditi,Female,CSE,74,85
Vivek,Male,CSE,74,69
Manish,Male,IT,65,80
Tanvi,Female,IT,64,85
Prateek,Male,CSE,58,81
Aarav,Male,ME,47,82
Amit,Male,AI,59,77
Gaurav,Male,CSE,57,74
Komal,Female,IT,56,78
Sakshi,Female,IT,80,85
Tanvi,Female,CSE,59,65
Mayank,Male,IT,73,87
Rishabh,Male,ECE,63,85
Arjun,Male,CSE,83,93
Isha,Female,IT,53,84
Yash,Male,AI,83,100
Rohit,Male,IT,76,80
Sakshi,Female,CSE,64,83
Ankit,Male,CSE,54,84
Shubham,Male,CSE,82,100
Karan,Male,CSE,62,75
Srishti,Female,CSE,70,75
Aakash,Male,ECE,88,91
Sneha,Female,ME,82,77
Karan,Male,ECE,72,81
Rohan,Male,AI,61,72
Dhruv,Male,AI,75,84
Komal,Female,AI,62,83
Aaliyah,Female,AI,64,80
Rahul,Male,AI,76,100
Aditya,Male,CSE,85,95
Aditya,Male,IT,88,100
Megha,Female,ECE,72,74
Ananya,Female,IT,53,76
Swati,Female,ME,77,66
Divya,Female,CSE,67,86
Sakshi,Female,CE,51,76
Komal,Female,ECE,75,91
Rohit,Male,AI,73,85
Rahul,Male,AI,74,91
Shubham,Male,ME,70,67
Rishabh,Male,CSE,60,85
Aakash,Male,IT,82,95
Siddharth,Male,CSE,55,70
Aditya,Male,CE,82,87
Mayank,Male,IT,68,100
Rishabh,Male,IT,89,93
Varun,Male,ME,70,88
Ananya,Female,CE,69,78
Rahul,Male,CSE,74,74
Sakshi,Female,ME,58,89
Abhishek,Male,ECE,82,96
Megha,Female,IT,63,66
Dhruv,Male,ME,78,100
Priya,Female,CSE,65,79
Tanvi,Female,IT,73,77
Prateek,Male,CSE,67,86
Gaurav,Male,IT,72,75
Anushka,Female,CE,86,88
Shubham,Male,IT,88,96
Bhavna,Female,AI,70,79
Harsh,Male,CSE,78,93
Harsh,Male,ME,53,73
Prateek,Male,AI,76,98
Muskan,Female,CSE,57,79
Rishabh,Male,CSE,77,91
Harsh,Male,ECE,65,89
Rohan,Male,IT,90,100
Abhishek,Male,AI,85,89
Pooja,Female,AI,76,92
Anushka,Female,IT,64,97
Kavita,Female,AI,78,94
Rishabh,Male,CSE,75,80
Saurabh,Male,IT,58,88
Kunal,Male,CSE,83,99
Pooja,Female,IT,72,87
Dhruv,Male,ECE,71,84
Kunal,Male,IT,74,93
Yash,Male,ECE,67,83
Komal,Female,IT,53,69
Aarav,Male,CSE,75,83
Preeti,Female,IT,85,100
Mayank,Male,ECE,63,80
Kavita,Female,AI,93,95
Simran,Female,ECE,62,81
Karan,Male,CSE,82,85
Rishabh,Male,CSE,85,85
Khushi,Female,IT,87,82
Varun,Male,IT,82,86
Rohit,Male,CSE,89,75
Shreya,Female,CSE,87,95
Komal,Female,IT,61,79
Nisha,Female,CE,74,84
Rohit,Male,AI,63,72
Aditi,Female,IT,70,90
Shreya,Female,CSE,57,90
Vivek,Male,CSE,76,100
Aakash,Male,AI,64,77
Aditya,Male,ME,80,98
Dhruv,Male,ECE,57,79
Tarun,Male,ECE,51,86
Aaliyah,Female,IT,74,80
Kavita,Female,CE,90,93
Isha,Female,IT,63,75
Karan,Male,AI,80,78
Bhavna,Female,CSE,71,79
Rohit,Male,IT,74,93
Komal,Female,ECE,65,100
Rohan,Male,AI,60,84
Vivek,Male,CE,91,100
Preeti,Female,ME,74,67
Bhavna,Female,CSE,94,94
Isha,Female,ME,51,74
Amit,Male,AI,58,73
Divya,Female,CSE,58,82
Rohit,Male,ECE,77,85
Preeti,Female,CSE,65,74
Mayank,Male,IT,46,77
Ritika,Female,IT,70,83
Khushi,Female,AI,57,78
Manish,Male,CSE,79,92
Gaurav,Male,IT,71,83
Kirti,Female,IT,82,79
Kirti,Female,AI,57,64
Yash,Male,IT,64,71
Manish,Male,CSE,45,69
Akanksha,Female,CSE,100,100
Ritika,Female,IT,53,67
Neha,Female,CSE,47,73
Nisha,Female,CSE,66,76
Arjun,Male,CSE,81,88
Tarun,Male,CSE,78,78
Tanvi,Female,IT,86,88
Harsh,Male,CSE,75,63
Gaurav,Male,AI,69,83
Aarav,Male,CSE,51,85
Rohan,Male,CSE,64,86
Ritika,Female,CSE,100,90
Ritika,Female,ECE,65,93
Divya,Female,ME,77,98
Shreya,Female,ECE,81,92
Kavita,Female,ECE,75,100
Karan,Male,IT,65,96
Preeti,Female,AI,44,84
Ritika,Female,ECE,81,69
Preeti,Female,IT,49,68
Isha,Female,CSE,78,96
Sneha,Female,IT,83,93
Aarav,Male,IT,77,88
Aditya,Male,IT,62,62
Tanvi,Female,ECE,66,76
Neha,Female,CSE,87,100
Aaliyah,Female,CSE,50,86
Nikhil,Male,AI,68,78
Divya,Female,ME,93,96
Shreya,Female,AI,64,91
Ankit,Male,AI,60,77
Kirti,Female,CSE,66,89
Ankit,Male,IT,64,79
Aakash,Male,ECE,61,81
Harsh,Male,ME,56,67
Ritika,Female,IT,77,73
Mayank,Male,ME,84,73
Bhavna,Female,CSE,77,85
Aakash,Male,IT,100,95
Yash,Male,IT,65,90
Manish,Male,CSE,100,86
Nikhil,Male,AI,100,100
Shubham,Male,IT,67,78
Sneha,Female,ECE,78,83
Priya,Female,CSE,77,79
Priya,Female,IT,62,74
Saurabh,Male,CSE,65,84
Tanvi,Female,AI,86,92
Swati,Female,AI,64,73
Sneha,Female,AI,80,90
Ankit,Male,IT,83,86
Swati,Female,CSE,66,90
Aakash,Male,AI,86,72
Varun,Male,CSE,73,76
Muskan,Female,ECE,67,81
Saurabh,Male,AI,55,73
Kirti,Female,CE,56,78
Arjun,Male,ECE,88,91
Amit,Male,IT,84,92
Abhishek,Male,CSE,61,72
Neha,Female,AI,59,82
Sakshi,Female,IT,66,93
Tarun,Male,AI,74,78
Mayank,Male,ECE,81,86
Shreya,Female,IT,96,90
Kavita,Female,IT,75,71
Aakash,Male,CSE,100,94
Harsh,Male,IT,56,66
Rishabh,Male,AI,53,72
Kavita,Female,CSE,68,76
Ritika,Female,CSE,71,88
Shubham,Male,CE,80,97
Kavita,Female,AI,66,86
Gaurav,Male,AI,73,81
Siddharth,Male,ME,75,74
Kirti,Female,CSE,62,84
Sachin,Male,ME,85,88
Akanksha,Female,IT,88,100
Varun,Male,CSE,74,80
Yash,Male,IT,88,92
Aditi,Female,CSE,82,90
Komal,Female,IT,75,84
Karan,Male,IT,65,92
Prateek,Male,IT,63,68
Kunal,Male,IT,49,72
Akanksha,Female,CSE,71,85
Dhruv,Male,CSE,78,73
Kirti,Female,AI,70,83
Rishabh,Male,AI,75,100
Amit,Male,IT,77,89
Muskan,Female,ECE,67,72
Komal,Female,CE,70,90
Deepika,Female,IT,90,100
Vikas,Male,IT,69,68
Amit,Male,ECE,78,94
Aaliyah,Female,CSE,69,83
Kavita,Female,CSE,65,82
Shreya,Female,ECE,82,88
Shreya,Female,AI,52,79
Preeti,Female,ECE,64,76
Karan,Male,ECE,84,97
Riya,Female,CSE,84,87
Arjun,Male,CSE,90,93
Amit,Male,CSE,74,84
Neha,Female,AI,89,92
Shubham,Male,CSE,86,87
Gaurav,Male,ME,66,82
Manish,Male,ECE,69,97
Dhruv,Male,CSE,76,81
Arjun,Male,ECE,85,85
Yash,Male,IT,54,59
Yash,Male,ECE,82,83
Swati,Female,AI,69,73
Megha,Female,ECE,49,70
Aditya,Male,CSE,56,88
Megha,Female,IT,66,77
Saurabh,Male,ECE,77,90
Anushka,Female,CSE,74,90
Khushi,Female,CSE,91,100
Vikas,Male,CSE,63,80
Nisha,Female,IT,75,84
Mayank,Male,CSE,66,62
Divya,Female,AI,76,89
Tarun,Male,AI,68,82
Vivek,Male,AI,69,82
Amit,Male,IT,66,90
Aditya,Male,IT,83,93
Yash,Male,AI,74,91
Simran,Female,AI,76,90
Komal,Female,AI,97,92
Riya,Female,ECE,96,87
Isha,Female,IT,79,99
Khushi,Female,ECE,59,74
Muskan,Female,CSE,56,86
Aaliyah,Female,AI,79,78
Gaurav,Male,CSE,85,88
Deepika,Female,ECE,88,96
Bhavna,Female,CSE,74,92
Mayank,Male,IT,90,100
Sneha,Female,CSE,81,88
Karan,Male,IT,66,86
Pooja,Female,ME,65,75
Muskan,Female,IT,70,77
Rishabh,Male,IT,45,74
Riya,Female,AI,61,66
Kavita,Female,CSE,66,84
Tanvi,Female,CSE,70,90
Rishabh,Male,CSE,68,92
Arjun,Male,ME,63,69
Arjun,Male,AI,68,98
Anushka,Female,IT,74,93
Swati,Female,CSE,72,78
Deepika,Female,AI,64,76
Rahul,Male,IT,82,90
Gaurav,Male,IT,77,69
Shubham,Male,CSE,60,84
Akanksha,Female,CSE,63,84
Gaurav,Male,CSE,82,91
Isha,Female,CSE,80,82
Ritika,Female,CSE,74,88
Preeti,Female,ME,78,94
Komal,Female,AI,71,86
Simran,Female,CSE,64,77
Riya,Female,CSE,84,93
Simran,Female,CSE,68,89
Kunal,Male,CSE,58,66
Mayank,Male,IT,98,100
Ananya,Female,CSE,74,78
Isha,Female,ECE,100,95
Neha,Female,IT,55,63
Anushka,Female,IT,84,71
Anushka,Female,CE,68,85
Tanvi,Female,CSE,55,76
Aarav,Male,CSE,60,70
Ananya,Female,IT,75,81
Karan,Male,IT,70,81
Isha,Female,ECE,65,73
Deepika,Female,CSE,71,87
Priya,Female,IT,59,79
Tarun,Male,ECE,68,85
Abhishek,Male,CSE,80,84
Ritika,Female,CSE,63,87
Bhavna,Female,AI,79,92
Yash,Male,IT,78,80
Muskan,Female,IT,65,73
Kunal,Male,IT,65,70
Komal,Female,CSE,80,74
Isha,Female,IT,83,97
Bhavna,Female,ECE,52,84
Srishti,Female,CSE,65,72
Vikas,Male,AI,86,87
Anushka,Female,CSE,84,89
Aditi,Female,CSE,55,75
Varun,Male,AI,92,95
Saurabh,Male,IT,87,95
Abhishek,Male,CSE,91,88
Varun,Male,CE,43,68
Ankit,Male,CSE,86,90
Riya,Female,CSE,77,88
Anushka,Female,ECE,59,71
Mayank,Male,CSE,72,70
Komal,Female,IT,76,100
Divya,Female,IT,48,83
Manish,Male,CSE,66,90
Komal,Female,AI,67,78
Tanvi,Female,IT,78,79
Aakash,Male,IT,73,89
Rahul,Male,ME,100,92
Deepika,Female,CSE,62,82
Aarav,Male,CSE,72,88
Bhavna,Female,CSE,37,72
Aditya,Male,CSE,72,81
Ankit,Male,IT,65,76
Deepak,Male,CSE,65,77
Shubham,Male,CSE,78,78
Pooja,Female,CE,77,95
Aakash,Male,AI,77,91
Komal,Female,AI,76,68
Kunal,Male,AI,65,60
Gaurav,Male,IT,60,83
Srishti,Female,CSE,60,78
Nisha,Female,ECE,71,75
Aakash,Male,CSE,85,93
Deepika,Female,IT,75,86
Ritika,Female,AI,69,79
Bhavna,Female,ECE,71,93
Tarun,Male,AI,64,81
Ankit,Male,CSE,71,85
Saurabh,Male,CSE,67,83
Dhruv,Male,CSE,42,73
Aarav,Male,CSE,80,96
Arjun,Male,IT,87,91
Abhishek,Male,CSE,83,82
Neha,Female,AI,69,81
Muskan,Female,CSE,89,100
Bhavna,Female,CSE,62,81
Nikhil,Male,IT,78,87
Mayank,Male,AI,68,82
Sakshi,Female,ECE,69,84
Nisha,Female,CE,76,98
Arjun,Male,CSE,62,87
Srishti,Female,CSE,76,80
Tanvi,Female,IT,77,91
Deepika,Female,AI,61,81
Shubham,Male,ECE,87,95
Abhishek,Male,IT,79,92
Pooja,Female,CSE,87,86
Abhishek,Male,AI,77,95
Megha,Female,ECE,70,83
Aditi,Female,ECE,81,96
Muskan,Female,IT,59,78
Aarav,Male,AI,74,92
Mayank,Male,CSE,67,78
Manish,Male,IT,98,91
Siddharth,Male,CSE,69,83
Shubham,Male,ECE,81,82
Nikhil,Male,CSE,84,95
Nisha,Female,ECE,38,76
Yash,Male,AI,64,70
Vivek,Male,AI,59,93
Megha,Female,CSE,82,94
Kavita,Female,CSE,55,67
Manish,Male,IT,92,97
Preeti,Female,ME,66,68
Deepika,Female,IT,39,64
Pooja,Female,CSE,74,81
Rahul,Male,ECE,66,78
Aakash,Male,AI,70,81
Rohit,Male,CSE,59,63
Riya,Female,CSE,65,80
Harsh,Male,IT,56,68
Riya,Female,ECE,72,87
Isha,Female,ECE,78,96
Mayank,Male,CSE,58,82
Preeti,Female,CSE,64,93
Tarun,Male,IT,59,79
Sakshi,Female,IT,74,96
Kirti,Female,IT,56,76
Megha,Female,CSE,91,89
Gaurav,Male,IT,69,93
Manish,Male,CSE,63,76
Nikhil,Male,ECE,60,82
Rishabh,Male,IT,82,87
Swati,Female,ECE,62,62
Arjun,Male,ECE,50,76
Pooja,Female,CSE,84,77
Nikhil,Male,IT,77,79
Sneha,Female,AI,81,85
Aditya,Male,CSE,65,76
Bhavna,Female,ECE,84,83
Preeti,Female,ECE,72,95
Srishti,Female,CE,85,100
Aditya,Male,CE,61,82
Ananya,Female,IT,78,88
Rohan,Male,CE,56,69
Riya,Female,AI,68,66
Anushka,Female,CSE,80,82
Komal,Female,CSE,82,92
Mayank,Male,IT,74,87
Arjun,Male,AI,53,86
Divya,Female,ECE,66,83
Dhruv,Male,CSE,75,82
Saurabh,Male,CSE,69,77
Tanvi,Female,CSE,84,78
Anushka,Female,CSE,75,90
Aaliyah,Female,IT,70,75
Aarav,Male,IT,69,74
Aaliyah,Female,IT,69,85
Preeti,Female,CE,78,93
Srishti,Female,CE,60,87
Bhavna,Female,AI,54,74
Aarav,Male,CSE,49,72
Ananya,Female,CSE,79,98
Vivek,Male,ECE,83,100
Muskan,Female,IT,65,87
Arjun,Male,CE,72,93
Aakash,Male,CSE,92,91
Simran,Female,AI,79,100
Varun,Male,ME,58,77
Aakash,Male,IT,91,100
Deepika,Female,AI,62,82
Varun,Male,IT,77,86
